cell	seurat_clusters	celltype
c442	1	Endo
c443	8sub3	VIP
c444	1	Endo
c445	1	Endo
c446	6	eL4
c447	8sub5	NPY
c448	2	eL6
c449	7	eL4
c450	3	Oligo
c451	4	eL5
c452	5	Astro
c453	9	eL2/3
c454	5	Astro
c455	5	Astro
c456	8sub5	NPY
c457	1	Endo
c458	5	Astro
c459	6	eL4
c460	3	Oligo
c461	11	Oligo
c462	8sub3	VIP
c463	3	Oligo
c464	9	eL2/3
c465	3	Oligo
c466	8sub2	SST
c467	1	Endo
c468	1	Endo
c469	6	eL4
c470	3	Oligo
c471	8sub1	PVALB
c472	9	eL2/3
c473	2	eL6
c474	1	Endo
c475	2	eL6
c476	12	Micro
c477	9	eL2/3
c478	1	Endo
c479	7	eL4
c480	8sub1	PVALB
c481	4	eL5
c482	4	eL5
c483	8sub5	NPY
c484	2	eL6
c485	4	eL5
c486	8sub6	PVALB
c487	9	eL2/3
c488	6	eL4
c489	7	eL4
c490	3	Oligo
c491	4	eL5
c492	11	Oligo
c493	10	eL2/3
c494	3	Oligo
c495	6	eL4
c496	7	eL4
c497	12	Micro
c498	11	Oligo
c499	4	eL5
c500	5	Astro
c501	1	Endo
c502	8sub4	RELN
c503	2	eL6
c504	6	eL4
c505	4	eL5
c506	7	eL4
c507	3	Oligo
c508	6	eL4
c509	2	eL6
c510	9	eL2/3
c511	2	eL6
c512	3	Oligo
c513	2	eL6
c514	9	eL2/3
c515	6	eL4
c516	1	Endo
c517	5	Astro
c518	7	eL4
c519	4	eL5
c520	7	eL4
c521	5	Astro
c522	9	eL2/3
c523	2	eL6
c524	2	eL6
c525	7	eL4
c526	1	Endo
c527	5	Astro
c528	6	eL4
c529	6	eL4
c530	6	eL4
c531	7	eL4
c532	11	Oligo
c533	2	eL6
c534	5	Astro
c535	9	eL2/3
c536	5	Astro
c537	3	Oligo
c538	4	eL5
c539	7	eL4
c540	2	eL6
c541	6	eL4
c542	3	Oligo
c543	9	eL2/3
c544	4	eL5
c545	1	Endo
c546	7	eL4
c547	2	eL6
c548	7	eL4
c549	3	Oligo
c550	1	Endo
c551	6	eL4
c552	1	Endo
c553	4	eL5
c554	2	eL6
c555	7	eL4
c556	6	eL4
c557	6	eL4
c558	2	eL6
c559	5	Astro
c560	5	Astro
c561	1	Endo
c562	6	eL4
c563	5	Astro
c564	5	Astro
c565	4	eL5
c566	2	eL6
c567	3	Oligo
c568	6	eL4
c569	8sub5	NPY
c570	2	eL6
c571	5	Astro
c572	11	Oligo
c573	12	Micro
c574	6	eL4
c575	8sub3	VIP
c576	9	eL2/3
c577	4	eL5
c578	11	Oligo
c579	9	eL2/3
c580	5	Astro
c581	6	eL4
c582	7	eL4
c583	9	eL2/3
c584	9	eL2/3
c585	11	Oligo
c586	3	Oligo
c587	11	Oligo
c588	6	eL4
c589	12	Micro
c590	2	eL6
c591	8sub5	NPY
c592	5	Astro
c593	10	eL2/3
c594	1	Endo
c595	4	eL5
c596	8sub2	SST
c597	7	eL4
c598	9	eL2/3
c599	10	eL2/3
c600	4	eL5
c601	2	eL6
c602	12	Micro
c603	3	Oligo
c604	4	eL5
c605	7	eL4
c606	5	Astro
c607	3	Oligo
c608	5	Astro
c609	1	Endo
c610	6	eL4
c611	9	eL2/3
c612	6	eL4
c613	4	eL5
c614	2	eL6
c615	12	Micro
c616	5	Astro
c617	5	Astro
c618	1	Endo
c619	3	Oligo
c620	2	eL6
c621	4	eL5
c622	9	eL2/3
c623	3	Oligo
c624	9	eL2/3
c625	10	eL2/3
c626	6	eL4
c627	1	Endo
c628	11	Oligo
c629	3	Oligo
c630	11	Oligo
c631	9	eL2/3
c632	1	Endo
c633	3	Oligo
c634	12	Micro
c635	4	eL5
c636	11	Oligo
c637	4	eL5
c638	9	eL2/3
c639	8sub1	PVALB
c640	5	Astro
c641	7	eL4
c642	6	eL4
c643	6	eL4
c644	5	Astro
c645	11	Oligo
c646	4	eL5
c647	6	eL4
c648	6	eL4
c649	3	Oligo
c650	4	eL5
c651	3	Oligo
c652	6	eL4
c653	1	Endo
c654	3	Oligo
c655	4	eL5
c656	12	Micro
c657	11	Oligo
c658	3	Oligo
c659	8sub5	NPY
c660	1	Endo
c661	9	eL2/3
c662	4	eL5
c663	1	Endo
c664	2	eL6
c665	2	eL6
c666	1	Endo
c667	9	eL2/3
c668	1	Endo
c669	3	Oligo
c670	8sub1	PVALB
c671	10	eL2/3
c672	3	Oligo
c673	5	Astro
c674	1	Endo
c675	1	Endo
c676	2	eL6
c677	6	eL4
c678	6	eL4
c679	3	Oligo
c680	2	eL6
c681	7	eL4
c682	8sub6	PVALB
c683	11	Oligo
c684	9	eL2/3
c685	7	eL4
c686	8sub5	NPY
c687	7	eL4
c688	4	eL5
c689	3	Oligo
c690	8sub1	PVALB
c691	8sub2	SST
c692	4	eL5
c693	6	eL4
c694	3	Oligo
c695	12	Micro
c696	10	eL2/3
c697	12	Micro
c698	5	Astro
c699	2	eL6
c700	4	eL5
c701	8sub2	SST
c702	11	Oligo
c703	3	Oligo
c704	6	eL4
c705	7	eL4
c706	1	Endo
c707	11	Oligo
c708	12	Micro
c709	1	Endo
c710	3	Oligo
c711	1	Endo
c712	11	Oligo
c713	4	eL5
c714	3	Oligo
c715	3	Oligo
c716	7	eL4
c717	1	Endo
c718	1	Endo
c719	4	eL5
c720	4	eL5
c721	5	Astro
c722	6	eL4
c723	2	eL6
c724	1	Endo
c725	4	eL5
c726	1	Endo
c727	7	eL4
c728	2	eL6
c729	2	eL6
c730	3	Oligo
c731	1	Endo
c732	6	eL4
c733	3	Oligo
c734	7	eL4
c735	5	Astro
c736	7	eL4
c737	10	eL2/3
c738	3	Oligo
c739	7	eL4
c740	12	Micro
c741	1	Endo
c742	7	eL4
c743	3	Oligo
c744	2	eL6
c745	7	eL4
c746	4	eL5
c747	4	eL5
c748	5	Astro
c749	5	Astro
c750	3	Oligo
c751	5	Astro
c752	10	eL2/3
c753	12	Micro
c754	8sub4	RELN
c755	3	Oligo
c756	1	Endo
c757	11	Oligo
c758	5	Astro
c759	1	Endo
c760	11	Oligo
c761	6	eL4
c762	6	eL4
c763	3	Oligo
c764	6	eL4
c765	4	eL5
c766	1	Endo
c767	6	eL4
c768	10	eL2/3
c769	5	Astro
c770	12	Micro
c771	6	eL4
c772	11	Oligo
c773	1	Endo
c774	6	eL4
c775	4	eL5
c776	11	Oligo
c777	10	eL2/3
c778	10	eL2/3
c779	1	Endo
c780	1	Endo
c781	2	eL6
c782	5	Astro
c783	3	Oligo
c784	6	eL4
c785	1	Endo
c786	2	eL6
c787	8sub1	PVALB
c788	4	eL5
c789	6	eL4
c790	12	Micro
c791	5	Astro
c792	4	eL5
c793	11	Oligo
c794	1	Endo
c795	6	eL4
c796	4	eL5
c797	10	eL2/3
c798	10	eL2/3
c799	4	eL5
c800	9	eL2/3
c801	5	Astro
c802	2	eL6
c803	4	eL5
c804	6	eL4
c805	2	eL6
c806	6	eL4
c807	6	eL4
c808	7	eL4
c809	6	eL4
c810	8sub5	NPY
c811	8sub4	RELN
c812	4	eL5
c813	7	eL4
c814	4	eL5
c815	2	eL6
c816	8sub1	PVALB
c817	5	Astro
c818	6	eL4
c819	3	Oligo
